	antecedent	consequent	confidence	lift
122	4,28,54	15	0.9773049645390071	1.4465373159342123
123	34,35,51,59	31	0.9816643159379408	1.4529897178974032
124	44,53,57,59	18	0.9636363636363636	1.429376651335747
125	31,36,54	30	0.925531914893617	1.3713795470144132
126	4,15,23,24	44	0.9569444444444445	1.4164011218522496
127	31,32,37,53	18	0.9665738161559888	1.433733819874007
128	12,45,64	31	0.9651810584958217	1.4285923722956415
129	18,34,44,57	31	0.9815078236130867	1.45275808908575
130	20,31,54,59	57	0.9815078236130867	1.45275808908575
131	18,31,54,57,59	35	0.9637377963737797	1.427989982153837
132	39,40	45	0.9068877551020408	1.3452005667713802
133	39,40	49	0.9017857142857143	1.3376326310933415
134	39,40	41	0.9119897959183674	1.3498624476643504
135	39,40	13	0.9056122448979592	1.3505775686898138
136	24,31,32,58	33	0.9719495091164095	1.438610551624503
137	33,45,60	35	0.9519890260631001	1.4105815891558624
138	25,33,38	44	0.9651810584958217	1.4285923722956415
139	4,15,58	24	0.9664335664335665	1.4304462454838394
140	16,65	9	0.92	1.382508178844057
141	16,65	26	0.9075	1.3446612903225807
142	25,31,37,51	57	0.9731638418079096	1.4404079205277114
143	34,41	45	0.9223918575063613	1.3681980405207383
144	34,41	67	0.9020356234096693	1.335128989321723
145	6,38,40	24	0.9664335664335665	1.4304462454838394
146	19,20,59	2	0.9542936288088643	1.4977410256248462
147	31,44,47,51,59	33	0.9773371104815864	1.446584896072638
148	19,37,44,47	24	0.9787234042553191	1.4486367895422445
